id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
120719_KambriCrews_ABlindEar_POD,A Blind Ear,Kambri Crews,,audio/120719_KambriCrews_ABlindEar_POD.mp3,transcripts/text/120719_KambriCrews_ABlindEar_POD.text,transcripts/vtt/120719_KambriCrews_ABlindEar_POD.vtt,transcripts/json/120719_KambriCrews_ABlindEar_POD.json
120916_NeilGaiman_AFathersPride_MRH1520,A Father's Pride,Neil Gaiman,,audio/120916_NeilGaiman_AFathersPride_MRH1520.mp3,transcripts/text/120916_NeilGaiman_AFathersPride_MRH1520.text,transcripts/vtt/120916_NeilGaiman_AFathersPride_MRH1520.vtt,transcripts/json/120916_NeilGaiman_AFathersPride_MRH1520.json
140411_SashaChanoff_AnImpossibleChoice_MRH1505,An Impossible Choice,Sasha Chanoff,,audio/140411_SashaChanoff_AnImpossibleChoice_MRH1505.mp3,transcripts/text/140411_SashaChanoff_AnImpossibleChoice_MRH1505.text,transcripts/vtt/140411_SashaChanoff_AnImpossibleChoice_MRH1505.vtt,transcripts/json/140411_SashaChanoff_AnImpossibleChoice_MRH1505.json
050323_TedConover_AllPrisonersLie_POD,All Prisoners Lie,Ted Conover,,audio/050323_TedConover_AllPrisonersLie_POD.mp3,transcripts/text/050323_TedConover_AllPrisonersLie_POD.text,transcripts/vtt/050323_TedConover_AllPrisonersLie_POD.vtt,transcripts/json/050323_TedConover_AllPrisonersLie_POD.json
140405_DeborahFeldman_INeedToTalkAboutAnneFrank_POD337,I Need To Talk About Anne Frank,Deborah Feldman,,audio/140405_DeborahFeldman_INeedToTalkAboutAnneFrank_POD337.mp3,transcripts/text/140405_DeborahFeldman_INeedToTalkAboutAnneFrank_POD337.text,transcripts/vtt/140405_DeborahFeldman_INeedToTalkAboutAnneFrank_POD337.vtt,transcripts/json/140405_DeborahFeldman_INeedToTalkAboutAnneFrank_POD337.json
021208_TamaraJenkins_Aloha_MRH1325,Aloha,Tamara Jenkins,,audio/021208_TamaraJenkins_Aloha_MRH1325.mp3,transcripts/text/021208_TamaraJenkins_Aloha_MRH1325.text,transcripts/vtt/021208_TamaraJenkins_Aloha_MRH1325.vtt,transcripts/json/021208_TamaraJenkins_Aloha_MRH1325.json
130606_PaulKnoll_800Heroes_MRH1501,800 Heroes,Paul Knoll,,audio/130606_PaulKnoll_800Heroes_MRH1501.mp3,transcripts/text/130606_PaulKnoll_800Heroes_MRH1501.text,transcripts/vtt/130606_PaulKnoll_800Heroes_MRH1501.vtt,transcripts/json/130606_PaulKnoll_800Heroes_MRH1501.json
100217_AlLetson_AFatherFigures_MRH1007,A Father Figures,Al Letson,,audio/100217_AlLetson_AFatherFigures_MRH1007.mp3,transcripts/text/100217_AlLetson_AFatherFigures_MRH1007.text,transcripts/vtt/100217_AlLetson_AFatherFigures_MRH1007.vtt,transcripts/json/100217_AlLetson_AFatherFigures_MRH1007.json
070413_DarrylMcDaniels_Angel_MRH1003,Angel,Darryl DMC McDaniels,,audio/070413_DarrylMcDaniels_Angel_MRH1003.mp3,transcripts/text/070413_DarrylMcDaniels_Angel_MRH1003.text,transcripts/vtt/070413_DarrylMcDaniels_Angel_MRH1003.vtt,transcripts/json/070413_DarrylMcDaniels_Angel_MRH1003.json
031217_TomWeiser_AlternateIthacaTom_MRH1002,Alternate Ithaca Tom,Tom Weiser,,audio/031217_TomWeiser_AlternateIthacaTom_MRH1002.mp3,transcripts/text/031217_TomWeiser_AlternateIthacaTom_MRH1002.text,transcripts/vtt/031217_TomWeiser_AlternateIthacaTom_MRH1002.vtt,transcripts/json/031217_TomWeiser_AlternateIthacaTom_MRH1002.json
140210_NicoleKear_ALittleMoreEveryDay_POD389,A Little More Every Day,Nicole Kear,,audio/140210_NicoleKear_ALittleMoreEveryDay_POD389.mp3,transcripts/text/140210_NicoleKear_ALittleMoreEveryDay_POD389.text,transcripts/vtt/140210_NicoleKear_ALittleMoreEveryDay_POD389.vtt,transcripts/json/140210_NicoleKear_ALittleMoreEveryDay_POD389.json
131108_JillianLauren_FamilyRoots_MRH1425,Family Roots,Jillian Lauren,,audio/131108_JillianLauren_FamilyRoots_MRH1425.mp3,transcripts/text/131108_JillianLauren_FamilyRoots_MRH1425.text,transcripts/vtt/131108_JillianLauren_FamilyRoots_MRH1425.vtt,transcripts/json/131108_JillianLauren_FamilyRoots_MRH1425.json
120215_TimKing_AChangeOfPlans_MRH1403,A Change Of Plans,Tim King,,audio/120215_TimKing_AChangeOfPlans_MRH1403.mp3,transcripts/text/120215_TimKing_AChangeOfPlans_MRH1403.text,transcripts/vtt/120215_TimKing_AChangeOfPlans_MRH1403.vtt,transcripts/json/120215_TimKing_AChangeOfPlans_MRH1403.json
081211_EllieLee_AKindOfWisdom_MRH1002,A Kind Of Wisdom,Ellie Lee,,audio/081211_EllieLee_AKindOfWisdom_MRH1002.mp3,transcripts/text/081211_EllieLee_AKindOfWisdom_MRH1002.text,transcripts/vtt/081211_EllieLee_AKindOfWisdom_MRH1002.vtt,transcripts/json/081211_EllieLee_AKindOfWisdom_MRH1002.json
030128_JessiKlein_BreakingUpInTheAgeOfGoogle_POD,Breaking Up In The Age Of Google,Jessi Klein,,audio/030128_JessiKlein_BreakingUpInTheAgeOfGoogle_POD.mp3,transcripts/text/030128_JessiKlein_BreakingUpInTheAgeOfGoogle_POD.text,transcripts/vtt/030128_JessiKlein_BreakingUpInTheAgeOfGoogle_POD.vtt,transcripts/json/030128_JessiKlein_BreakingUpInTheAgeOfGoogle_POD.json
100915_SteveBurns_Fameishness_MRH1105,Fameishness,Steve Burns,,audio/100915_SteveBurns_Fameishness_MRH1105.mp3,transcripts/text/100915_SteveBurns_Fameishness_MRH1105.text,transcripts/vtt/100915_SteveBurns_Fameishness_MRH1105.vtt,transcripts/json/100915_SteveBurns_Fameishness_MRH1105.json
051011_BorisTimanovsky_AGravePredicament_POD,A Grave Predicament,Boris Timanovsky,,audio/051011_BorisTimanovsky_AGravePredicament_POD.mp3,transcripts/text/051011_BorisTimanovsky_AGravePredicament_POD.text,transcripts/vtt/051011_BorisTimanovsky_AGravePredicament_POD.vtt,transcripts/json/051011_BorisTimanovsky_AGravePredicament_POD.json
140222_StephanieSummerville_AnIndomitableSpirit_MRH1421,An Indomitable Spirit,Stephanie Summerville,,audio/140222_StephanieSummerville_AnIndomitableSpirit_MRH1421.mp3,transcripts/text/140222_StephanieSummerville_AnIndomitableSpirit_MRH1421.text,transcripts/vtt/140222_StephanieSummerville_AnIndomitableSpirit_MRH1421.vtt,transcripts/json/140222_StephanieSummerville_AnIndomitableSpirit_MRH1421.json
020220_AndreGregory_TheFirstTime_POD372,The First Time,Andre Gregory,,audio/020220_AndreGregory_TheFirstTime_POD372.mp3,transcripts/text/020220_AndreGregory_TheFirstTime_POD372.text,transcripts/vtt/020220_AndreGregory_TheFirstTime_POD372.vtt,transcripts/json/020220_AndreGregory_TheFirstTime_POD372.json
101206_AimeeMullins_AWorkInProgress_MRH1102,A Work In Progress,Aimee Mullins,,audio/101206_AimeeMullins_AWorkInProgress_MRH1102.mp3,transcripts/text/101206_AimeeMullins_AWorkInProgress_MRH1102.text,transcripts/vtt/101206_AimeeMullins_AWorkInProgress_MRH1102.vtt,transcripts/json/101206_AimeeMullins_AWorkInProgress_MRH1102.json
030228_BillBurr_ADollsHouse_POD,A Doll's House,Bill Burr,,audio/030228_BillBurr_ADollsHouse_POD.mp3,transcripts/text/030228_BillBurr_ADollsHouse_POD.text,transcripts/vtt/030228_BillBurr_ADollsHouse_POD.vtt,transcripts/json/030228_BillBurr_ADollsHouse_POD.json
081029_AndrewSolomon_NotesOnAnExorcism_MRH1005,Notes On An Exorcism,Andrew Solomon,,audio/081029_AndrewSolomon_NotesOnAnExorcism_MRH1005.mp3,transcripts/text/081029_AndrewSolomon_NotesOnAnExorcism_MRH1005.text,transcripts/vtt/081029_AndrewSolomon_NotesOnAnExorcism_MRH1005.vtt,transcripts/json/081029_AndrewSolomon_NotesOnAnExorcism_MRH1005.json
020414_DinaPearlman_30DaysOffCrackAndCute_POD,30 Days Off Crack And Cute,Dina Pearlman,,audio/020414_DinaPearlman_30DaysOffCrackAndCute_POD.mp3,transcripts/text/020414_DinaPearlman_30DaysOffCrackAndCute_POD.text,transcripts/vtt/020414_DinaPearlman_30DaysOffCrackAndCute_POD.vtt,transcripts/json/020414_DinaPearlman_30DaysOffCrackAndCute_POD.json
080501_JonathanAmes_TheDuel_MRH1008,The Duel,Jonathan Ames,,audio/080501_JonathanAmes_TheDuel_MRH1008.mp3,transcripts/text/080501_JonathanAmes_TheDuel_MRH1008.text,transcripts/vtt/080501_JonathanAmes_TheDuel_MRH1008.vtt,transcripts/json/080501_JonathanAmes_TheDuel_MRH1008.json
